ID empleat;Nom complet;Sexe;Data naixement;Departament;Location;Data inici;Data final
PSN-BCN-2024-0004;Rubén Riera Serra;Home;27/11/1988;Operacions-Qualitat-Logística;Granollers;2/9/2024;26/5/2025
PSN-BCN-2018-0053;Rafa Costa Rubio;Home;18/1/1997;Operacions-Qualitat-Logística;Granollers;4/10/2018;4/1/2025
PSN-BCN-2017-0052;Genís Torres Puig;Home;8/10/1981;Operacions-Qualitat-Logística;Granollers;14/3/2017;25/9/2025
PSN-BCN-2014-0047;Júlia Ferrer Muñoz;Dona;6/4/1984;Operacions-Qualitat-Logística;Granollers;20/8/2014;12/9/2025
PSN-BCN-2021-0034;Jordi González Morales;Home;1/2/1984;Operacions-Qualitat-Logística;Granollers;5/3/2021;9/10/2025
PSN-BCN-2022-0037;Teresa Martín Serra;Dona;3/9/1984;Operacions-Qualitat-Logística;Granollers;26/10/2022;3/11/2024
PSN-BCN-2015-0047;Andreu Martínez Bosch;Home;4/12/1986;Operacions-Qualitat-Logística;Granollers;11/10/2015;24/2/2025
PSN-BCN-2018-0054;Manel Gómez Ribas;Home;28/5/1999;Operacions-Qualitat-Logística;Granollers;17/11/2018;25/1/2025
PSN-BCN-2020-0038;Inés Soler Pérez;Dona;30/7/1985;Operacions-Qualitat-Logística;Granollers;10/4/2020;24/3/2025
PSN-BCN-2020-0039;Ferran Iglesias Rovira;Home;26/11/1989;Operacions-Qualitat-Logística;Granollers;15/4/2020;30/10/2024
PSN-BCN-2022-0038;Àlex Suárez Gil;Home;2/8/1991;Operacions-Qualitat-Logística;Granollers;3/11/2022;13/4/2025
PSN-BCN-2017-0053;Arnau Martínez González;Home;31/8/1983;Operacions-Qualitat-Logística;Granollers;5/5/2017;30/1/2025
PSN-BCN-2017-0054;Sergi Castro Pérez;Home;19/3/2000;Operacions-Qualitat-Logística;Granollers;24/3/2017;13/3/2025
PSN-BCN-2013-0038;Jaume Colomer Torres;Home;16/3/1990;Operacions-Qualitat-Logística;Granollers;20/5/2013;2/3/2025
PSN-BCN-2023-0031;Adrià Bosch Camps;Home;29/6/1984;Operacions-Qualitat-Logística;Granollers;17/9/2023;24/4/2025
PSN-BCN-2017-0055;Arnau López Pérez;Home;3/8/1994;Operacions-Qualitat-Logística;Granollers;2/9/2017;13/11/2024
PSN-BCN-2019-0055;Clara Ruiz Batlle;Dona;22/11/1999;Operacions-Qualitat-Logística;Granollers;10/8/2019;17/2/2025
PSN-BCN-2020-0040;Álvaro Marín Serra;Home;10/3/1993;Operacions-Qualitat-Logística;Granollers;4/11/2020;5/10/2025
PSN-BCN-2018-0055;Maria González García;Dona;23/6/1991;Operacions-Qualitat-Logística;Granollers;20/6/2018;14/12/2024
PSN-BCN-2018-0056;Antonio Ortiz Bosch;Home;27/9/1992;Operacions-Qualitat-Logística;Granollers;18/7/2018;20/7/2025
