ID empleat;Nom complet;Sexe;Data naixement;Departament;Location
PSN-BCN-2020-0001;Toni Costa Ruiz;Home;30/4/1995;RH;Barcelona (22@)
PSN-BCN-2009-0001;Jordi Álvarez López;Home;21/4/1976;R+D;Granollers
PSN-BCN-2015-0001;Jaume Muñoz Rodríguez;Home;6/8/1984;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2019-0001;Andrea Ramírez Riera;Dona;25/8/1995;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0001;Tània Fernández Romero;Dona;29/3/1961;R+D;Barcelona (22@)
PSN-BCN-2012-0001;Àlex Pérez Marín;Home;3/3/1980;Finances;Barcelona (22@)
PSN-BOS-2020-0001;David Kelly;Home;22/1/1994;R+D;Boston (MA)
PSN-BCN-2020-0002;Manel Rovira González;Home;12/2/1995;Operacions-Qualitat-Logística;Granollers
PSN-BOS-2008-0001;Thomas Taylor;Home;22/12/1973;Finances;Boston (MA)
PSN-BCN-2008-0002;Arnau Iglesias Bosch;Home;11/4/1964;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2022-0001;Berta Suárez Ruiz;Dona;27/3/1999;Operacions-Qualitat-Logística;Granollers
PSN-BOS-2008-0002;Natalie Davis;Dona;5/8/1975;R+D;Boston (MA)
PSN-BCN-2008-0003;Pau Romero Fernández;Home;29/3/1977;R+D;Granollers
PSN-BOS-2008-0003;Ryan Wilson;Home;21/12/1971;Sistemes;Boston (MA)
PSN-BCN-2019-0002;Olga Moreno López;Dona;10/4/1994;Sistemes;Barcelona (22@)
PSN-BCN-2019-0003;Júlia López Martínez;Dona;16/2/1988;RH;Barcelona (22@)
PSN-BCN-2011-0001;Lídia Camps Rodríguez;Dona;22/11/1981;Finances;Barcelona (22@)
PSN-BCN-2008-0004;Quim Arnau Navarro;Home;23/11/1973;R+D;Granollers
PSN-BCN-2015-0002;Marc Sánchez López;Home;29/12/1986;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2013-0001;Joan Romero Bosch;Home;1/12/1974;Operacions-Qualitat-Logística;Granollers
PSN-BCN-2008-0005;Anna Navarro Gil;Dona;23/2/1961;Comercial;Barcelona (22@)
PSN-BCN-2017-0001;Lídia Vila Grau;Dona;17/11/1983;R+D;Granollers
PSN-BOS-2008-0004;Claire Williams;Dona;23/5/1970;Finances;Boston (MA)
